Contig,protein,Sample_ID,AMG_KO,AMG_KO_name,Pfam,Pfam_name,AMG_KO,KEGG_Entry,Metabolism,Pathway
HV_001_07_k141_4305,HV_001_07_k141_4305_2,HV_001_07,K00764,purF; PPAT; amidophosphoribosyltransferase [EC:2.4.2.14],PF13537.6,Glutamine amidotransferase domain,K00764,map00230,Nucleotide metabolism,Purine metabolism
HV_001_07_k141_4305_B,HV_001_07_k141_4305_2_B,HV_001_07,K00764,purF; PPAT; amidophosphoribosyltransferase [EC:2.4.2.14],PF13537.6,Glutamine amidotransferase domain,K00764,map00250,Amino acid metabolism,Alanine; aspartate and glutamate metabolism
HV_001_08_k141_4960,HV_001_08_k141_4960_2,HV_001_08,K00616,E2.2.1.2; talA; talB; transaldolase [EC:2.2.1.2],PF00923.19,Transaldolase/Fructose-6-phosphate aldolase,K00616,map00030,Carbohydrate metabolism,Pentose phosphate pathway
HV_001_09_k141_16901,HV_001_09_k141_16901_2,HV_001_09,K00390,cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10],PF01507.19,Phosphoadenosine phosphosulfate reductase family,K00390,map00920,Energy metabolism,Sulfur metabolism
HV_001_09_k141_28450,HV_001_09_k141_28450_3,HV_001_09,K01745,hutH; HAL; histidine ammonia-lyase [EC:4.3.1.3],PF00221.19,Aromatic amino acid lyase,K01745,map00340,Amino acid metabolism,Histidine metabolism
HV_001_10_k141_13929,HV_001_10_k141_13929_1,HV_001_10,K02495,hemN; hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3],PF06969.16,HemN C-terminal domain,K02495,map00860,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism
HV_001_10_k141_16813,HV_001_10_k141_16813_11,HV_001_10,K22316,rhnA-cobC; ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],PF13456.6,Reverse transcriptase-like,K22316,map00860,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism
HV_001_10_k141_20807,HV_001_10_k141_20807_3,HV_001_10,K22316,rhnA-cobC; ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],PF13456.6,Reverse transcriptase-like,K22316,map00860,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism
HV_001_10_k141_21594,HV_001_10_k141_21594_11,HV_001_10,K22316,rhnA-cobC; ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],PF13456.6,Reverse transcriptase-like,K22316,map00860,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism
HV_001_10_k141_31147,HV_001_10_k141_31147_3,HV_001_10,K21064,ycsE; yitU; ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104],PF08282.12,haloacid dehalogenase-like hydrolase,K21064,map00740,Metabolism of cofactors and vitamins,Riboflavin metabolism
HV_001_11_k141_2288,HV_001_11_k141_2288_5,HV_001_11,K01582,E4.1.1.18; ldcC; cadA; lysine decarboxylase [EC:4.1.1.18],,,K01582,map00310,Amino acid metabolism,Lysine degradation
HV_001_11_k141_2288_B,HV_001_11_k141_2288_5_B,HV_001_11,K01582,E4.1.1.18; ldcC; cadA; lysine decarboxylase [EC:4.1.1.18],,,K01582,map00960,Biosynthesis of other secondary metabolites,Tropane; piperidine and pyridine alkaloid biosynthesis
HV_001_12_k141_35077,HV_001_12_k141_35077_4,HV_001_12,K00123,fdoG; fdhF; fdwA; formate dehydrogenase major subunit [EC:1.17.1.9],PF00384.22,Molybdopterin oxidoreductase,K00123,map00630,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
HV_001_12_k141_35077_B,HV_001_12_k141_35077_4_B,HV_001_12,K00123,fdoG; fdhF; fdwA; formate dehydrogenase major subunit [EC:1.17.1.9],PF00384.22,Molybdopterin oxidoreductase,K00123,map00680,Energy metabolism,Methane metabolism
HV_001_14_k141_2535,HV_001_14_k141_2535_2,HV_001_14,K13542,cobA-hemD; uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],PF02602.15,Uroporphyrinogen-III synthase HemD,K13542,map00860,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism
HV_001_14_k141_3494,HV_001_14_k141_3494_1,HV_001_14,K22227,ahbD; heme synthase,,,K22227,map00860,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism
HV_001_21_k141_54371,HV_001_21_k141_54371_4,HV_001_21,K11752,ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193],PF01872.17,RibD C-terminal domain,K11752,map00740,Metabolism of cofactors and vitamins,Riboflavin metabolism
HV_002_04_k141_11204,HV_002_04_k141_11204_1,HV_002_04,K06920,queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20],PF06508.13,Queuosine biosynthesis protein QueC,K06920,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_002_04_k141_11204_2,HV_002_04_k141_11204_2,HV_002_04,K01737,queD; ptpS; PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50],PF01242.19,6-pyruvoyl tetrahydropterin synthase,K01737,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_002_04_k141_11204_3,HV_002_04_k141_11204_3,HV_002_04,K10026,queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3],PF04055.21,Radical SAM superfamily,K10026,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_002_04_k141_39317,HV_002_04_k141_39317_5,HV_002_04,K01845,hemL; glutamate-1-semialdehyde 2-1-aminomutase [EC:5.4.3.8],PF00202.21,Aminotransferase class-III,K01845,map00860,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism
HV_002_04_k141_54564,HV_002_04_k141_54564_4,HV_002_04,K01924,murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8],PF01225.25,Mur ligase family; catalytic domain,K01924,map00471,Metabolism of other amino acids,D-Glutamine and D-glutamate metabolism
HV_002_04_k141_54564_B,HV_002_04_k141_54564_4_B,HV_002_04,K01924,murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8],PF01225.25,Mur ligase family; catalytic domain,K01924,map00550,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
HV_002_11_k141_7552,HV_002_11_k141_7552_1,HV_002_11,K22316,rhnA-cobC; ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],PF13456.6,Reverse transcriptase-like,K22316,map00860,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism
HV_002_12_k141_162351,HV_002_12_k141_162351_3,HV_002_12,K01091,gph; phosphoglycolate phosphatase [EC:3.1.3.18],PF13419.6,Haloacid dehalogenase-like hydrolase,K01091,map00630,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
HV_002_13_k141_2082,HV_002_13_k141_2082_4,HV_002_13,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
